AF-A0A000-F1-model_v4	e8872c7a0261b9e88e6ff47eb34e4162	394	2	1-40_288-394,41-287	1.00000
AF-A0A001-F1-model_v4	cb86c221bd1ac1e32e74cf89e2ae7499	591	4	1-143_258-313,144-257,341-419_496-573,420-495	1.00000
AF-A0A002-F1-model_v4	bfa4d3aa927a6ba10af8368ea54b99ef	564	4	1-145_260-309,146-259,310-409_461-564,410-460	1.00000
AF-A0A003-F1-model_v4	ef135b36ed6abc56048aca673273e179	340	1	12-323	1.00000
AF-A0A004-F1-model_v4	8814e3f3cbc538da38990175f0d7426d	645	3	1-103_111-217,218-223_230-564,565-637	1.00000
AF-A0A007-F1-model_v4	7b046718ba42397c853947225b5a04d8	407	3	1-147,148-338,339-369	1.00000
AF-A0A009DWB1-F1-model_v4	81f4fd472605e1e6fdf2881c3e860954	45	1	1-45	1.00000
AF-A0A009DWC5-F1-model_v4	31368b609c790f971cd478dc8d0ec2a2	52	1	1-52	1.00000
AF-A0A009DWD5-F1-model_v4	e66c9aad47951fb8610341bd2e275a34	39	1	9-39	1.00000
AF-A0A009DWE1-F1-model_v4	7375206666fc67633b6907154d1b3be5	126	2	1-61,62-126	1.00000
